"DEBTCONSOLIDATION","4035","1189","29.47"
"MEDICAL","4692","1308","27.88"
"HOMEIMPROVEMENT","2881","761","26.41"
"PERSONAL","4253","870","20.46"
"EDUCATION","4951","841","16.99"
"VENTURE","4319","645","14.93"
